PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image
fc_rapid_1923_david_ankeye,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,30,David Ankeye,Centre-Forward,"May 22, 2002 (22)",Nigeria,€1.80m,fc_rapid_1923_david_ankeye.jpg
fc_rapid_1923_borisav_burmaz,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,11,Borisav Burmaz,Centre-Forward,"Apr 21, 2001 (23)",Serbia,€1.40m,fc_rapid_1923_borisav_burmaz.png
fc_rapid_1923_elvir_koljic,fc_rapid_1923,FC Rapid 1923,fc_rapid_1923.png,95,Elvir Koljic,Centre-Forward,"Jul 8, 1995 (29)",Bosnia-Herzegovina,€800k,fc_rapid_1923_elvir_koljic.png
cs_universitatea_craiova_laurentiu_popescu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,21,Laurentiu Popescu,Goalkeeper,"Jan 18, 1997 (28)",Romania,€1.70m,cs_universitatea_craiova_laurentiu_popescu.png
cs_universitatea_craiova_relu_stoian,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,32,Relu Stoian,Goalkeeper,"Mar 1, 1996 (28)",Romania,€150k,cs_universitatea_craiova_relu_stoian.png
cs_universitatea_craiova_silviu_lung_jr.,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,33,Silviu Lung Jr.,Goalkeeper,"Jun 4, 1989 (35)",Romania,€150k,cs_universitatea_craiova_silviu_lung_jr..png
cs_universitatea_craiova_denil_maldonado,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,3,Denil Maldonado,Centre-Back,"May 26, 1998 (26)",Honduras,€1.20m,cs_universitatea_craiova_denil_maldonado.png
cs_universitatea_craiova_gjoko_zajkov,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,26,Gjoko Zajkov,Centre-Back,"Feb 10, 1995 (30)",North Macedonia,€800k,cs_universitatea_craiova_gjoko_zajkov.png
cs_universitatea_craiova_juraj_badelj,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,15,Juraj Badelj,Centre-Back,"Aug 24, 2003 (21)",Croatia,€600k,cs_universitatea_craiova_juraj_badelj.png
cs_universitatea_craiova_marcus_pacurar,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,41,Marcus Pacurar,Centre-Back,"May 2, 2005 (19)",Romania,€50k,cs_universitatea_craiova_marcus_pacurar.png
cs_universitatea_craiova_nicusor_bancu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,11,Nicusor Bancu,Left-Back,"Sep 18, 1992 (32)",Romania,€1.30m,cs_universitatea_craiova_nicusor_bancu.png
cs_universitatea_craiova_basilio_ndong,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,12,Basilio Ndong,Left-Back,"Jan 17, 1999 (26)",Equatorial Guinea,€400k,cs_universitatea_craiova_basilio_ndong.png
cs_universitatea_craiova_vasile_mogos,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,-,Vasile Mogos,Right-Back,"Oct 31, 1992 (32)",Romania,€800k,cs_universitatea_craiova_vasile_mogos.png
cs_universitatea_craiova_iago_lopez,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,22,Iago Lopez,Right-Back,"Apr 6, 1999 (25)",Spain,€300k,cs_universitatea_craiova_iago_lopez.png
cs_universitatea_craiova_vladimir_screciu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,6,Vladimir Screciu,Defensive Midfield,"Jan 13, 2000 (25)",Romania,€2.00m,cs_universitatea_craiova_vladimir_screciu.png
cs_universitatea_craiova_anzor_mekvabishvili,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,5,Anzor Mekvabishvili,Defensive Midfield,"Jun 5, 2001 (23)",Georgia,€1.20m,cs_universitatea_craiova_anzor_mekvabishvili.png
cs_universitatea_craiova_takuto_oshima,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,8,Takuto Oshima,Defensive Midfield,"Jun 1, 1998 (26)",Japan,€1.00m,cs_universitatea_craiova_takuto_oshima.png
