PlayerID,TeamID,Team,TeamLogo,Number,Name,Position,Age,Nationality,Market Value,Image,Scor
cs_universitatea_craiova_nicusor_bancu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,11,Nicusor Bancu,Left-Back,"Sep 18, 1992 (32)",Romania,€1.30m,cs_universitatea_craiova_nicusor_bancu.png,4
cs_universitatea_craiova_basilio_ndong,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,12,Basilio Ndong,Left-Back,"Jan 17, 1999 (26)",Equatorial Guinea,€400k,cs_universitatea_craiova_basilio_ndong.png,2
cs_universitatea_craiova_iago_lopez,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,22,Iago Lopez,Right-Back,"Apr 6, 1999 (25)",Spain,€300k,cs_universitatea_craiova_iago_lopez.png,2
cs_universitatea_craiova_vladimir_screciu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,6,Vladimir Screciu,Defensive Midfield,"Jan 13, 2000 (25)",Romania,€2.00m,cs_universitatea_craiova_vladimir_screciu.png,4
cs_universitatea_craiova_anzor_mekvabishvili,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,5,Anzor Mekvabishvili,Defensive Midfield,"Jun 5, 2001 (23)",Georgia,€1.20m,cs_universitatea_craiova_anzor_mekvabishvili.png,3
cs_universitatea_craiova_takuto_oshima,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,8,Takuto Oshima,Defensive Midfield,"Jun 1, 1998 (26)",Japan,€1.00m,cs_universitatea_craiova_takuto_oshima.png,3
cs_universitatea_craiova_robert_lapadatescu,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,39,Robert Lapadatescu,Defensive Midfield,"Nov 8, 2006 (18)",Romania,-,cs_universitatea_craiova_robert_lapadatescu.png,2
cs_universitatea_craiova_mihai_capatina,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,23,Mihai Capatina,Central Midfield,"Dec 16, 1995 (29)",Romania,€550k,cs_universitatea_craiova_mihai_capatina.png,3
cs_universitatea_craiova_alexandru_cicaldau,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,20,Alexandru Cicaldau,Attacking Midfield,"Jul 8, 1997 (27)",Romania,€2.50m,cs_universitatea_craiova_alexandru_cicaldau.png,4
cs_universitatea_craiova_lyes_houri,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,14,Lyes Houri,Attacking Midfield,"Jan 19, 1996 (29)",France,€800k,cs_universitatea_craiova_lyes_houri.png,3
cs_universitatea_craiova_alexandru_mitrita,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,28,Alexandru Mitrita,Left Winger,"Feb 8, 1995 (30)",Romania,€4.00m,cs_universitatea_craiova_alexandru_mitrita.png,5
cs_universitatea_craiova_stefan_baiaram,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,10,Stefan Baiaram,Left Winger,"Dec 31, 2002 (22)",Romania,€1.50m,cs_universitatea_craiova_stefan_baiaram.png,4
cs_universitatea_craiova_luis_paradela,cs_universitatea_craiova,CS Universitatea Craiova,cs_universitatea_craiova.png,7,Luis Paradela,Left Winger,"Jan 21, 1997 (28)",Cuba,€700k,cs_universitatea_craiova_luis_paradela.png,3
