Team,Number,Name,Position,Age,Nationality,Market Value
FC Universitatea Cluj,27,Alexandru Chipciu,Left-Back,"May 18, 1989 (35)",Romania,€400k
FC Universitatea Cluj,17,Daniel Lasure,Left-Back,"Feb 27, 1994 (30)",Spain,€200k
FC Universitatea Cluj,24,Radu Boboc,Right-Back,"Apr 24, 1999 (25)",Romania,€1.20m
FC Universitatea Cluj,26,Dorinel Oancea,Right-Back,"Apr 2, 1997 (27)",Romania,€450k
FC Universitatea Cluj,23,Ovidiu Popescu,Defensive Midfield,"Feb 27, 1994 (30)",Romania,€900k
FC Universitatea Cluj,98,Gabriel Simion,Defensive Midfield,"May 22, 1998 (26)",Romania,€800k
FC Universitatea Cluj,4,Razvan Oaida,Defensive Midfield,"Mar 2, 1998 (26)",Romania,€700k
FC Universitatea Cluj,18,Andrei Artean,Defensive Midfield,"Aug 14, 1993 (31)",Romania,€700k
FC Universitatea Cluj,94,Ovidiu Bic,Central Midfield,"Feb 23, 1994 (30)",Romania,€1.20m
FC Universitatea Cluj,22,Vadim Rata,Central Midfield,"May 5, 1993 (31)",Moldova,€750k
FC Universitatea Cluj,8,Dorin Codrea,Central Midfield,"Jun 13, 1997 (27)",Romania,€450k
FC Universitatea Cluj,10,Dan Nistor,Central Midfield,"May 6, 1988 (36)",Romania,€400k
FC Universitatea Cluj,20,Alexandru Bota,Central Midfield,"Mar 31, 2008 (16)",Romania,€50k
FC Universitatea Cluj,7,Robert Silaghi,Attacking Midfield,"Apr 2, 2002 (22)",Romania,€650k
FC Universitatea Cluj,-,Issouf Macalou,Right Winger,"Dec 27, 1998 (26)",Cote d'Ivoire,€200k
FC Universitatea Cluj,93,Mamadou Thiam,Second Striker,"Mar 20, 1995 (29)",Senegal,€900k
FC Universitatea Cluj,77,Vladislav Blanuta,Centre-Forward,"Jan 12, 2002 (23)",Romania,€1.30m
FC Universitatea Cluj,11,Artur Miranyan,Centre-Forward,"Dec 27, 1995 (29)",Armenia,€500k
FC Universitatea Cluj,9,Adel Bettaieb,Centre-Forward,"Jan 28, 1997 (27)",Tunisia,€300k
Sepsi OSK Sf. Gheorghe,33,Roland Niczuly,Goalkeeper,"Sep 21, 1995 (29)",Romania,€1.00m
Sepsi OSK Sf. Gheorghe,31,Szilard Gyenge,Goalkeeper,"Feb 11, 2001 (23)",Romania,€250k
Sepsi OSK Sf. Gheorghe,1,Dinu Moldovan,Goalkeeper,"May 3, 1990 (34)",Romania,€100k
Sepsi OSK Sf. Gheorghe,98,Hunor Gedo,Goalkeeper,"Jan 16, 2004 (21)",Romania,€25k
Sepsi OSK Sf. Gheorghe,13,Denis Ciobotariu,Centre-Back,"Jun 10, 1998 (26)",Romania,€1.20m
Sepsi OSK Sf. Gheorghe,82,Branislav Ninaj,Centre-Back,"May 17, 1994 (30)",Slovakia,€850k
Sepsi OSK Sf. Gheorghe,4,Denis Harut,Centre-Back,"Feb 25, 1999 (25)",Romania,€600k
Sepsi OSK Sf. Gheorghe,24,Matej Simic,Centre-Back,"Nov 29, 1995 (29)",Croatia,€500k
Sepsi OSK Sf. Gheorghe,44,Mark Tamas,Centre-Back,"Oct 28, 1993 (31)",Hungary,€250k
Sepsi OSK Sf. Gheorghe,2,Andres Dumitrescu,Left-Back,"Mar 11, 2001 (23)",Romania,€900k
Sepsi OSK Sf. Gheorghe,3,Florin Stefan,Left-Back,"May 9, 1996 (28)",Romania,€900k
Sepsi OSK Sf. Gheorghe,25,Bogdan Otelita,Right-Back,"Aug 12, 2002 (22)",Romania,€550k
