PlayerID,Scor,Liga
fcv_farul_constanta_isaque_ferreira,1,superliga
petrolul_ploiesti_oscar_linner,2,superliga
petrolul_ploiesti_raul_balbarau,1,superliga
petrolul_ploiesti_marian_huja,2,superliga
petrolul_ploiesti_paul_papp,3,superliga
petrolul_ploiesti_yohan_roche,2,superliga
petrolul_ploiesti_valentin_ticu,2,superliga
petrolul_ploiesti_ioan_tolea,2,superliga
petrolul_ploiesti_bogdan_marian,2,superliga
petrolul_ploiesti_ricardinho,2,superliga
petrolul_ploiesti_denis_radu,2,superliga
petrolul_ploiesti_kilian_ludewig,1,superliga
petrolul_ploiesti_tommi_jyry,3,superliga
petrolul_ploiesti_tidiane_keita,2,superliga
petrolul_ploiesti_lucian_dumitriu,2,superliga
petrolul_ploiesti_alexandru_mateiu,3,superliga
petrolul_ploiesti_david_paraschiv,2,superliga
petrolul_ploiesti_sergiu_hanca,3,superliga
petrolul_ploiesti_mario_bratu,2,superliga
petrolul_ploiesti_gheorghe_grozav,4,superliga
petrolul_ploiesti_valentin_gheorghe,2,superliga
petrolul_ploiesti_mihnea_radulescu,3,superliga
petrolul_ploiesti_nana_akosah-bempah,2,superliga
petrolul_ploiesti_christian_irobiso,2,superliga
petrolul_ploiesti_ali_demirel,2,superliga
petrolul_ploiesti_iustin_raducan,2,superliga
fc_hermannstadt_catalin_cabuz,2,superliga
fc_hermannstadt_vahid_selimovic,2,superliga
fc_hermannstadt_florin_bejan,2,superliga
fc_hermannstadt_ionut_stoica,2,superliga
fc_hermannstadt_valerica_gaman,2,superliga
fc_hermannstadt_tiago_goncalves,2,superliga
fc_hermannstadt_tiberiu_capusa,2,superliga
fc_hermannstadt_alexandru_oroian,2,superliga
fc_hermannstadt_nana_antwi,3,superliga
fc_hermannstadt_alessandro_murgia,2,superliga
fc_hermannstadt_antoni_ivanov,2,superliga
fc_hermannstadt_dragos_iancu,2,superliga
fc_hermannstadt_ciprian_biceanu,2,superliga
fc_hermannstadt_kalifa_kujabi,2,superliga
fc_hermannstadt_cristian_negut,2,superliga
fc_hermannstadt_ianis_stoica,4,superliga
fc_hermannstadt_silviu_balaure,4,superliga
fc_hermannstadt_robert_popescu,2,superliga
fc_hermannstadt_aurelian_chitu,4,superliga
fc_hermannstadt_sergiu_bus,3,superliga
sc_otelul_galati_iustin_popescu,2,superliga
sc_otelul_galati_cosmin_dur-bozoanca,2,superliga
sc_otelul_galati_darius_paharnicu,1,superliga
